channel_number,channel_id,stream_id,stream_name,stream_url,channel_group_id,timestamp,video_codec,audio_codec,interlaced_status,status,bitrate_kbps,fps,resolution,frames_decoded,frames_dropped,err_decode,err_discontinuity,err_timeout
403.0,44,63000,|UK| SKY SPORTS FOOTBALL ˢᴰ,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/205924.ts,3440,2025-12-14T16:10:20.087509,h264,aac,PROGRESSIVE,OK,2271.4704,50.0,720x576,477.0,0.0,False,False,False
403.0,44,110943,|UK| SKY SPORTS FOOTBALL ˢᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/205924.ts,3440,2025-12-14T16:10:22.104341,N/A,N/A,PROGRESSIVE,OK,2269.1536,N/A,N/A,477.0,0.0,False,False,False
403.0,44,23341,VIP: SKY SPORTS FOOTBALL ᴿᴬᵂ,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/1290239.ts,3440,2025-12-14T16:10:30.355157,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
403.0,44,23288,VIP: SKY SPORTS FOOTBALL ᴴᴰ ʰᵉᵛᶜ,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/1290292.ts,3440,2025-12-14T16:10:40.687823,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
403.0,44,23267,VIP: SKY SPORTS FOOTBALL ᴴᴰ,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/1290313.ts,3440,2025-12-14T16:10:50.907770,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
403.0,44,62555,|UK| SKY SPORTS FOOTBALL 50 FPS,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/303268.ts,3440,2025-12-14T16:10:53.652971,h264,eac3,PROGRESSIVE,OK,8325.375199999999,50.0,1920x1080,316.0,0.0,False,False,True
403.0,44,110571,|UK| SKY SPORTS FOOTBALL 50 FPS,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/303268.ts,3440,2025-12-14T16:10:55.293663,h264,eac3,PROGRESSIVE,OK,8325.375199999999,50.0,1920x1080,316.0,0.0,False,False,True
403.0,44,52337,UK| SKY SPORTS FOOTBALL [BK],http://mzzxzgtd.mexamo.xyz/live/7PGRPWPV/2FEKK9KD/401384749.ts,3440,2025-12-14T16:11:01.239614,h264,aac,PROGRESSIVE,OK,7522.4992,50.0,1920x1080,472.0,0.0,False,False,True
403.0,44,23362,VIP: SKY SPORTS FOOTBALL ᴿᴬᵂ ʰᵉᵛᶜ,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/1290218.ts,3440,2025-12-14T16:11:01.239735,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
403.0,44,23324,VIP: SKY SPORTS FOOTBALL SD ʰᵉᵛᶜ,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/1290256.ts,3440,2025-12-14T16:11:11.600572,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
403.0,44,23301,VIP: SKY SPORTS FOOTBALL SD,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/1290279.ts,3440,2025-12-14T16:11:21.853514,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
403.0,44,62556,|UK| SKY SPORTS FOOTBALL  ᵁᴴᴰ,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/50273.ts,3440,2025-12-14T16:11:37.795717,h264,aac,PROGRESSIVE,OK,5067.2592,25.0,1280x720,472.0,0.0,False,False,False
403.0,44,110572,|UK| SKY SPORTS FOOTBALL  ᵁᴴᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/50273.ts,3440,2025-12-14T16:11:39.603870,h264,aac,PROGRESSIVE,OK,5056.8336,25.0,1280x720,472.0,0.0,False,False,False
403.0,44,49646,UK: Sky Sports Football HD 50FPS,http://easyip.xyz/live/g38Stuew/j7jmCpJ/52326.ts,3440,2025-12-14T16:11:47.596432,h264,eac3,PROGRESSIVE,OK,7055.1448,50.0,1920x1080,317.0,0.0,False,False,True
403.0,44,52350,UK| SKY SPORTS FOOTBALL SD,http://mzzxzgtd.mexamo.xyz/live/7PGRPWPV/2FEKK9KD/153696.ts,3440,2025-12-14T16:11:47.596564,h264,aac,PROGRESSIVE,OK,2806.1208,50.0,720x576,476.0,0.0,False,False,False
403.0,44,23454,UK: SKY SPORTS FOOTBALL ᴿᴬᵂ,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/588044.ts,3440,2025-12-14T16:12:23.247478,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
403.0,44,52327,UK| SKY SPORTS FOOTBALL HEVC,http://mzzxzgtd.mexamo.xyz/live/7PGRPWPV/2FEKK9KD/433208.ts,3440,2025-12-14T16:12:23.247561,h264,aac,UNKNOWN (Timeout),OK,5355.033600000001,25.0,1280x720,479.0,0.0,False,False,False
403.0,44,49645,UK: Sky Sports Football HD,http://easyip.xyz/live/g38Stuew/j7jmCpJ/9700.ts,3440,2025-12-14T16:12:31.166976,h264,aac,PROGRESSIVE,OK,7736.028,25.0,1920x1080,472.0,0.0,False,False,True
403.0,44,23432,UK: SKY SPORTS FOOTBALL SD,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/588021.ts,3440,2025-12-14T16:12:33.587660,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
403.0,44,23486,UK: SKY SPORTS FOOTBALL HEVC HD,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/621654.ts,3440,2025-12-14T16:12:43.893640,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
403.0,44,23509,UK: SKY SPORTS FOOTBALL HEVC 4K,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/621632.ts,3440,2025-12-14T16:12:54.237470,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
403.0,44,63036,NOW| SKY SPORTS FOOTBALL,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/1236220.ts,3440,2025-12-14T16:13:04.533751,h264,eac3,PROGRESSIVE,OK,6333.0808,50.0,1920x1080,315.0,0.0,False,False,True
403.0,44,23394,UK: SKY SPORTS FOOTBALL ᴴᴰ ◉,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/588070.ts,3440,2025-12-14T16:13:04.534024,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
403.0,44,110979,NOW| SKY SPORTS FOOTBALL,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/1236220.ts,3440,2025-12-14T16:13:14.784560,h264,eac3,PROGRESSIVE,OK,10010.568,50.0,1920x1080,315.0,0.0,False,False,True
403.0,44,23061,NOW: SKY SPORTS FOOTBALL ᴿᴬᵂ,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/1527635.ts,3440,2025-12-14T16:13:24.030092,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
